"UTC"	"LocalTime"	"GCounter..ml."	"GCounter..bar."	"GCounter...C."	"pH..pH."	"pH...C."	"RedOx..mV."	"RedOx...C."
2024-10-30 23:00:00	2024-10-31 01:00:00	133.300365508161	1.70507988354078	34.8029852796144	10.1886232761466	89.328872222686	-150.841015496959	52.7987525042664
2024-10-30 23:10:00	2024-10-31 01:10:00	133.300365508161	1.70489760348799	34.8029852796144	10.1864542952414	89.2812531177596	-150.422608270493	52.8000558119564
2024-10-30 23:20:00	2024-10-31 01:20:00	133.300365508161	1.70485225151313	34.7568414624773	10.1910603215061	89.2265455728301	-150.422618003066	52.8000370169468
2024-10-30 23:30:00	2024-10-31 01:30:00	133.300365508161	1.70491749444787	34.6979346975989	10.1857630418962	89.4917108478669	-150.185399680276	52.8049155484933
2024-10-30 23:40:00	2024-10-31 01:40:00	133.300365508161	1.70487667180728	34.6553250647755	10.1940107863836	89.3044183346088	-149.730529602431	52.9178910413433
2024-10-30 23:50:00	2024-10-31 01:50:00	133.300365508161	1.70500662265832	34.6474146961234	10.187837812178	89.3128660618059	-149.717461307764	52.8285146546546
NA	2024-10-31 02:00:00	133.300365508161	1.70510212345153	34.6474146961234	10.1888358547706	89.3813472742534	-149.173406157967	52.7993130443926
2024-10-31 00:10:00	2024-10-31 02:10:00	133.300365508161	1.70495313058541	34.6447779065727	10.1883090905592	89.27634189425	-149.014066589206	52.7847174008762
2024-10-31 00:20:00	2024-10-31 02:20:00	133.300365508161	1.70484193103167	34.6210468006165	10.1793743501225	89.5362172533655	-149.014085819832	52.7993308856257
2024-10-31 00:30:00	2024-10-31 02:30:00	133.300365508161	1.70487667180728	34.5524902722985	10.1772869591407	89.8957944060918	-148.871360221626	52.7997504912311
2024-10-31 00:40:00	2024-10-31 02:40:00	133.300365508161	1.70485835658667	34.4971176917339	10.1818369142815	89.5113062788975	-148.320441468117	52.7988441790303
2024-10-31 00:50:00	2024-10-31 02:50:00	133.300365508161	1.70464569652507	34.4892073230818	10.1960024233376	89.3031397647373	-148.309483412131	52.8083026133928
2024-10-31 01:00:00	2024-10-31 03:00:00	133.300365508161	1.70458624473751	34.4892073230818	10.1963619106472	89.3545712900388	-147.93287280686	52.7999655959097
2024-10-31 01:10:00	2024-10-31 03:10:00	133.300365508161	1.70444931665958	34.4892073230818	10.1880891372362	89.5070898977855	-147.605564717659	52.7965653261781
2024-10-31 01:20:00	2024-10-31 03:20:00	133.300365508161	1.70443231333351	34.4865483756357	10.1983592283918	89.3309589325325	-147.60551214334	52.8000290251191
2024-10-31 01:30:00	2024-10-31 03:30:00	133.300365508161	1.70446675972683	34.4641578223502	10.1855539966747	89.57026144432	-147.5738000923	52.7999618369078
2024-10-31 01:40:00	2024-10-31 03:40:00	133.300365508161	1.70449016250873	34.3942828992568	10.1817611772938	89.8453430865147	-146.975384947821	52.8000746069662
2024-10-31 01:50:00	2024-10-31 03:50:00	133.300365508161	1.70429276513098	34.3586862403224	10.1870810275943	89.4412338221763	-146.901453189263	52.8000858839721
2024-10-31 02:00:00	2024-10-31 04:00:00	133.300365508161	1.70433404705681	34.3309999500401	10.1884593939475	89.6026720214214	-146.901388344532	52.8000858839721
2024-10-31 02:10:00	2024-10-31 04:10:00	133.300365508161	1.70450077370797	34.3283631604894	10.177726280493	90.0686317993125	-146.668118541592	52.8000858839721
2024-10-31 02:20:00	2024-10-31 04:20:00	133.300365508161	1.70454350922274	34.3283631604894	10.1942514590988	89.7473458033162	-146.202894445344	52.8000858839721
2024-10-31 02:30:00	2024-10-31 04:30:00	133.300365508161	1.70483437236919	34.2558514478453	10.1815903886306	90.2166722324524	-146.197133612469	52.8000821249701
